date,store_id,sku_id,category,actual_units_sold,actual_true_demand,baseline_forecast,regression_forecast
2026-01-19,ST001,SKU0002,Homecare,0,0,2,1.9294592121355867
2026-01-20,ST001,SKU0002,Homecare,0,1,9,2.5145727195928065
2026-01-21,ST001,SKU0002,Homecare,0,2,4,2.325499348629558
2026-01-22,ST001,SKU0002,Homecare,0,1,3,2.3172549797760484
2026-01-23,ST001,SKU0002,Homecare,0,8,5,2.7752594181912005
2026-01-24,ST001,SKU0002,Homecare,0,6,7,1.8006323744580768
2026-01-25,ST001,SKU0002,Homecare,0,1,4,2.0666854274515067
2026-01-26,ST001,SKU0002,Homecare,0,2,2,1.9291349129321183
2026-01-27,ST001,SKU0002,Homecare,0,2,9,1.974807894913745
2026-01-28,ST001,SKU0002,Homecare,0,3,4,2.161771712875926
2026-01-29,ST001,SKU0002,Homecare,0,6,3,2.0877503686929444
2026-01-30,ST001,SKU0002,Homecare,0,4,5,2.230041926114745
2026-01-03,ST001,SKU0003,Snacks,0,19,5,11.250491021656213
2026-01-04,ST001,SKU0003,Snacks,0,8,5,11.767324818017055
2026-01-05,ST001,SKU0003,Snacks,0,10,5,7.615551134985565
2026-01-06,ST001,SKU0003,Snacks,0,2,9,8.167362934614438
2026-01-07,ST001,SKU0003,Snacks,0,4,3,7.083862810620985
2026-01-08,ST001,SKU0003,Snacks,0,5,8,7.56533332900516
2026-01-09,ST001,SKU0003,Snacks,0,11,9,8.04561401874559
2026-01-10,ST001,SKU0003,Snacks,0,8,5,9.076501220529625
2026-01-11,ST001,SKU0003,Snacks,0,16,5,10.895284700306
2026-01-12,ST001,SKU0003,Snacks,0,8,5,9.173806203858826
2026-01-13,ST001,SKU0003,Snacks,0,9,9,8.444386068458881
2026-01-14,ST001,SKU0003,Snacks,0,9,3,9.105071679096312
2026-01-15,ST001,SKU0003,Snacks,0,10,8,9.657731934393379
2026-01-16,ST001,SKU0003,Snacks,0,7,9,10.259830299109263
2026-01-17,ST001,SKU0003,Snacks,0,6,5,10.15886144820123
2026-01-18,ST001,SKU0003,Snacks,0,6,5,9.772966574638321
2026-01-19,ST001,SKU0003,Snacks,0,3,5,9.014034616936751
2026-01-20,ST001,SKU0003,Snacks,0,5,9,8.426947214322684
2026-01-21,ST001,SKU0003,Snacks,0,4,3,9.270017705644324
2026-01-22,ST001,SKU0003,Snacks,0,19,8,9.514466019956828
2026-01-23,ST001,SKU0003,Snacks,0,6,9,11.148598340816342
2026-01-24,ST001,SKU0003,Snacks,0,2,5,9.128193513783048
2026-01-25,ST001,SKU0003,Snacks,0,8,5,8.668818379850727
2026-01-26,ST001,SKU0003,Snacks,0,2,5,7.665301457989358
2026-01-27,ST001,SKU0003,Snacks,0,2,9,6.78627902178035
2026-01-28,ST001,SKU0003,Snacks,0,9,3,7.0575791232826255
2026-01-29,ST001,SKU0003,Snacks,0,8,8,8.004296994865465
2026-01-30,ST001,SKU0003,Snacks,0,5,9,10.433116752943711
2026-01-03,ST001,SKU0004,Snacks,0,5,4,3.88585449698736
2026-01-04,ST001,SKU0004,Snacks,0,7,6,4.117307095938502
2026-01-05,ST001,SKU0004,Snacks,0,11,8,2.051574749967857
2026-01-06,ST001,SKU0004,Snacks,0,17,21,0.6984332677715877
2026-01-07,ST001,SKU0004,Snacks,0,8,12,1.7176878895472791
2026-01-08,ST001,SKU0004,Snacks,0,2,9,2.991275910794922
2026-01-09,ST001,SKU0004,Snacks,0,11,6,3.94910801615052
2026-01-10,ST001,SKU0004,Snacks,0,3,4,3.6404543734416626
2026-01-11,ST001,SKU0004,Snacks,0,6,6,4.187433590176472
2026-01-12,ST001,SKU0004,Snacks,0,1,8,1.7851359301740084
2026-01-13,ST001,SKU0004,Snacks,0,5,21,1.399330738865288
2026-01-14,ST001,SKU0004,Snacks,0,2,12,3.2302142153010767
2026-01-15,ST001,SKU0004,Snacks,0,16,9,4.2872845030299604
2026-01-16,ST001,SKU0004,Snacks,0,7,6,1.6305079891289331
2026-01-17,ST001,SKU0004,Snacks,0,11,4,3.7609766497478345
2026-01-18,ST001,SKU0004,Snacks,0,12,6,3.532018694651226
2026-01-19,ST001,SKU0004,Snacks,0,12,8,2.417165644435279
2026-01-20,ST001,SKU0004,Snacks,0,7,21,2.9126098574840027
2026-01-21,ST001,SKU0004,Snacks,0,6,12,4.153343489884175
2026-01-22,ST001,SKU0004,Snacks,0,4,9,3.638650544963502
2026-01-23,ST001,SKU0004,Snacks,0,8,6,4.843307307368278
2026-01-24,ST001,SKU0004,Snacks,0,6,4,4.7607915019734985
2026-01-25,ST001,SKU0004,Snacks,0,5,6,4.915922339060137
2026-01-26,ST001,SKU0004,Snacks,0,5,8,3.237373444397221
2026-01-27,ST001,SKU0004,Snacks,0,6,21,4.567846996246329
2026-01-28,ST001,SKU0004,Snacks,0,10,12,5.267526686600012
2026-01-29,ST001,SKU0004,Snacks,0,13,9,5.212854178111454
2026-01-30,ST001,SKU0004,Snacks,0,8,6,4.565788255716168
2026-01-03,ST001,SKU0005,Beverages,0,12,12,7.208444558998934
2026-01-04,ST001,SKU0005,Beverages,0,2,9,7.2656307199392565
2026-01-05,ST001,SKU0005,Beverages,0,4,10,6.450050928778487
2026-01-06,ST001,SKU0005,Beverages,0,4,6,6.623857351395323
2026-01-07,ST001,SKU0005,Beverages,0,11,6,6.641301433356912
2026-01-08,ST001,SKU0005,Beverages,0,13,2,6.655210100099527
2026-01-09,ST001,SKU0005,Beverages,0,2,7,6.7719313663121214
2026-01-10,ST001,SKU0005,Beverages,0,14,12,6.308355055888476
2026-01-11,ST001,SKU0005,Beverages,0,12,9,6.556326679370237
2026-01-12,ST001,SKU0005,Beverages,0,2,10,6.204858679562173
2026-01-13,ST001,SKU0005,Beverages,0,10,6,5.708380098769208
2026-01-14,ST001,SKU0005,Beverages,0,3,6,6.329427145722931
2026-01-15,ST001,SKU0005,Beverages,0,12,2,5.992517826725294
2026-01-16,ST001,SKU0005,Beverages,0,0,7,6.07410238813692
2026-01-17,ST001,SKU0005,Beverages,0,4,12,5.81769026472594
2026-01-18,ST001,SKU0005,Beverages,0,6,9,6.20273858828585
2026-01-19,ST001,SKU0005,Beverages,0,7,10,5.920340566297636
2026-01-20,ST001,SKU0005,Beverages,0,10,6,6.266922039696757
2026-01-21,ST001,SKU0005,Beverages,0,6,6,6.165213477705623
2026-01-22,ST001,SKU0005,Beverages,0,6,2,6.185944520821701
2026-01-23,ST001,SKU0005,Beverages,0,7,7,6.204385328014286
2026-01-24,ST001,SKU0005,Beverages,0,2,12,6.863771107313697
2026-01-25,ST001,SKU0005,Beverages,0,5,9,6.768701383623263
2026-01-26,ST001,SKU0005,Beverages,0,8,10,6.658960307833723
2026-01-27,ST001,SKU0005,Beverages,0,5,6,6.932741319835176
2026-01-28,ST001,SKU0005,Beverages,0,11,6,6.906043681016269
2026-01-29,ST001,SKU0005,Beverages,0,8,2,6.943963296091178
2026-01-30,ST001,SKU0005,Beverages,0,5,7,6.766880541445784
2026-01-03,ST001,SKU0006,Dairy,0,3,10,4.184801465292535
2026-01-04,ST001,SKU0006,Dairy,0,4,15,5.757213176059416
2026-01-05,ST001,SKU0006,Dairy,0,6,10,4.92501015613446
2026-01-06,ST001,SKU0006,Dairy,0,25,5,5.355667061753927
2026-01-07,ST001,SKU0006,Dairy,0,6,13,5.106752819892865
2026-01-08,ST001,SKU0006,Dairy,0,8,6,8.015443664453333
2026-01-09,ST001,SKU0006,Dairy,0,3,9,7.759734029461585
2026-01-10,ST001,SKU0006,Dairy,0,14,10,9.214616964799669
2026-01-11,ST001,SKU0006,Dairy,0,2,15,7.719685665095031
2026-01-12,ST001,SKU0006,Dairy,0,3,10,7.976020826499587
2026-01-13,ST001,SKU0006,Dairy,0,4,5,7.385081201205118
2026-01-14,ST001,SKU0006,Dairy,0,8,13,6.582148439593224
2026-01-15,ST001,SKU0006,Dairy,0,3,6,6.332614765574338
2026-01-16,ST001,SKU0006,Dairy,0,7,9,7.600427919567322
2026-01-17,ST001,SKU0006,Dairy,0,6,10,6.618350537352076
2026-01-18,ST001,SKU0006,Dairy,0,15,15,6.667706906949801
2026-01-19,ST001,SKU0006,Dairy,0,2,10,5.261494227704533
2026-01-20,ST001,SKU0006,Dairy,0,13,5,6.911250635716965
2026-01-21,ST001,SKU0006,Dairy,0,11,13,5.667011256899064
2026-01-22,ST001,SKU0006,Dairy,0,15,6,6.299595478103344
2026-01-23,ST001,SKU0006,Dairy,0,8,9,5.412888000822581
2026-01-24,ST001,SKU0006,Dairy,0,5,10,6.243352664818207
2026-01-25,ST001,SKU0006,Dairy,0,13,15,6.439875085569406
2026-01-26,ST001,SKU0006,Dairy,0,10,10,5.095982542193289
2026-01-27,ST001,SKU0006,Dairy,0,17,5,3.7396545820743405
2026-01-28,ST001,SKU0006,Dairy,0,5,13,3.5228387492548094
2026-01-29,ST001,SKU0006,Dairy,0,28,6,5.469970158084826
2026-01-30,ST001,SKU0006,Dairy,0,11,9,5.303765115576696
2026-01-03,ST001,SKU0007,Dairy,0,6,29,9.777687962209958
2026-01-04,ST001,SKU0007,Dairy,0,13,14,11.665119952754102
2026-01-05,ST001,SKU0007,Dairy,0,11,9,6.6033602938976745
2026-01-06,ST001,SKU0007,Dairy,0,11,10,7.384936872897242
2026-01-07,ST001,SKU0007,Dairy,0,16,5,7.412783103241896
2026-01-08,ST001,SKU0007,Dairy,0,5,8,7.8400439950442955
2026-01-09,ST001,SKU0007,Dairy,0,10,14,9.756498296596984
2026-01-10,ST001,SKU0007,Dairy,0,14,29,9.434934761591961
2026-01-11,ST001,SKU0007,Dairy,0,12,14,10.425382129045264
2026-01-12,ST001,SKU0007,Dairy,0,10,9,6.841319097686396
2026-01-13,ST001,SKU0007,Dairy,0,4,10,7.395618401844551
2026-01-14,ST001,SKU0007,Dairy,0,9,5,8.644803666302431
2026-01-15,ST001,SKU0007,Dairy,0,3,8,7.670980462413947
2026-01-16,ST001,SKU0007,Dairy,0,6,14,9.351677139886407
2026-01-17,ST001,SKU0007,Dairy,0,21,29,10.13096850478444
2026-01-18,ST001,SKU0007,Dairy,0,8,14,7.2828896629998425
2026-01-19,ST001,SKU0007,Dairy,0,6,9,5.462145590207173
2026-01-20,ST001,SKU0007,Dairy,0,28,10,6.17458556124377
2026-01-21,ST001,SKU0007,Dairy,0,14,5,2.530388048720802
2026-01-22,ST001,SKU0007,Dairy,0,12,8,4.441694494709468
2026-01-23,ST001,SKU0007,Dairy,0,14,14,6.286666298979689
2026-01-24,ST001,SKU0007,Dairy,0,3,29,7.69920098669467
2026-01-25,ST001,SKU0007,Dairy,0,7,14,9.288267184993098
2026-01-26,ST001,SKU0007,Dairy,0,8,9,5.286113106362722
2026-01-27,ST001,SKU0007,Dairy,0,8,10,7.492360626249317
2026-01-28,ST001,SKU0007,Dairy,0,14,5,8.38900902627588
2026-01-29,ST001,SKU0007,Dairy,0,32,8,7.646609052799821
2026-01-30,ST001,SKU0007,Dairy,0,9,14,3.0617785316018704
2026-01-03,ST001,SKU0008,Beverages,0,1,14,2.55768259984177
2026-01-04,ST001,SKU0008,Beverages,0,13,28,1.980981711906137
2026-01-05,ST001,SKU0008,Beverages,0,7,5,3.5572391315689327
2026-01-06,ST001,SKU0008,Beverages,0,3,18,2.581677007119271
2026-01-07,ST001,SKU0008,Beverages,0,5,9,3.4262915262026876
2026-01-08,ST001,SKU0008,Beverages,0,11,14,3.279607658126531
2026-01-09,ST001,SKU0008,Beverages,0,8,2,4.2845798273158895
2026-01-10,ST001,SKU0008,Beverages,0,19,14,4.19865519752046
2026-01-11,ST001,SKU0008,Beverages,0,3,28,3.4037552395062023
2026-01-12,ST001,SKU0008,Beverages,0,6,5,3.3919720211808935
2026-01-13,ST001,SKU0008,Beverages,0,5,18,3.692295930565309
2026-01-14,ST001,SKU0008,Beverages,0,12,9,3.506332110458626
2026-01-15,ST001,SKU0008,Beverages,0,4,14,3.1784306441777153
2026-01-16,ST001,SKU0008,Beverages,0,5,2,3.437521284815195
2026-01-17,ST001,SKU0008,Beverages,0,12,14,2.8585956421445586
2026-01-18,ST001,SKU0008,Beverages,0,8,28,4.176800936604519
2026-01-19,ST001,SKU0008,Beverages,0,10,5,3.514851656602604
2026-01-20,ST001,SKU0008,Beverages,0,8,18,3.578362083880744
2026-01-21,ST001,SKU0008,Beverages,0,5,9,3.0431598502190296
2026-01-22,ST001,SKU0008,Beverages,0,13,14,3.712305473481318
2026-01-23,ST001,SKU0008,Beverages,0,13,2,3.6800323636966645
2026-01-24,ST001,SKU0008,Beverages,0,3,14,3.0891519947584793
2026-01-25,ST001,SKU0008,Beverages,0,2,28,3.4033977516381713
2026-01-26,ST001,SKU0008,Beverages,0,7,5,3.0041938750981965
2026-01-27,ST001,SKU0008,Beverages,0,3,18,3.3472485120802236
2026-01-28,ST001,SKU0008,Beverages,0,2,9,3.562195555358821
2026-01-29,ST001,SKU0008,Beverages,0,3,14,3.1094734255788916
2026-01-30,ST001,SKU0008,Beverages,0,12,2,3.277809003266192
2026-01-03,ST001,SKU0009,Homecare,0,3,5,4.175802010083346
2026-01-04,ST001,SKU0009,Homecare,0,5,2,4.198085936485974
2026-01-05,ST001,SKU0009,Homecare,0,8,3,3.317399348234905
2026-01-06,ST001,SKU0009,Homecare,0,4,7,3.558007403276088
2026-01-07,ST001,SKU0009,Homecare,0,0,2,3.428007928268922
2026-01-08,ST001,SKU0009,Homecare,0,1,7,4.039132519850722
2026-01-09,ST001,SKU0009,Homecare,0,0,7,4.209826110131415
2026-01-10,ST001,SKU0009,Homecare,0,4,5,4.151664825039058
2026-01-11,ST001,SKU0009,Homecare,0,1,2,4.315693116935789
2026-01-12,ST001,SKU0009,Homecare,0,5,3,3.664695480006194
2026-01-13,ST001,SKU0009,Homecare,0,1,7,3.264850177679489
2026-01-14,ST001,SKU0009,Homecare,0,4,2,3.1639600238507417
2026-01-15,ST001,SKU0009,Homecare,0,2,7,3.2816921699765533
2026-01-16,ST001,SKU0009,Homecare,0,4,7,3.3970394534302226
2026-01-17,ST001,SKU0009,Homecare,0,0,5,3.628262109503373
2026-01-18,ST001,SKU0009,Homecare,0,1,2,3.760855186043744
2026-01-19,ST001,SKU0009,Homecare,0,2,3,3.171459621638351
2026-01-20,ST001,SKU0009,Homecare,0,3,7,2.9535410652761094
2026-01-21,ST001,SKU0009,Homecare,0,0,2,3.1943085889567557
2026-01-22,ST001,SKU0009,Homecare,0,5,7,3.281216940548131
2026-01-23,ST001,SKU0009,Homecare,0,2,7,3.5845757725811245
2026-01-24,ST001,SKU0009,Homecare,0,3,5,3.5443634074133987
2026-01-25,ST001,SKU0009,Homecare,0,3,2,3.7113472074194327
2026-01-26,ST001,SKU0009,Homecare,0,5,3,2.921805867241899
2026-01-27,ST001,SKU0009,Homecare,0,4,7,3.142884065876024
2026-01-28,ST001,SKU0009,Homecare,0,1,2,3.204783532041183
2026-01-29,ST001,SKU0009,Homecare,0,2,7,3.538437408841137
2026-01-30,ST001,SKU0009,Homecare,0,0,7,3.5312422967095323
2026-01-03,ST001,SKU0010,Homecare,0,2,6,1.3165630826984422
2026-01-04,ST001,SKU0010,Homecare,0,1,8,1.7766233807476395
2026-01-05,ST001,SKU0010,Homecare,0,3,2,0.6598022009356841
2026-01-06,ST001,SKU0010,Homecare,0,7,2,1.152908994083381
2026-01-07,ST001,SKU0010,Homecare,0,5,3,1.7335757199568809
2026-01-08,ST001,SKU0010,Homecare,0,1,5,1.3350362724792886
2026-01-09,ST001,SKU0010,Homecare,0,0,2,0.9724679440454578
2026-01-10,ST001,SKU0010,Homecare,0,3,6,1.1700992478861814
2026-01-11,ST001,SKU0010,Homecare,0,9,8,1.4904143082551942
2026-01-12,ST001,SKU0010,Homecare,0,5,2,1.3273108067604058
2026-01-13,ST001,SKU0010,Homecare,0,1,2,1.1000521103682415
2026-01-14,ST001,SKU0010,Homecare,0,3,3,0.6866087073662461
2026-01-15,ST001,SKU0010,Homecare,0,2,5,1.0334958411048047
2026-01-16,ST001,SKU0010,Homecare,0,0,2,1.1472502373922673
2026-01-17,ST001,SKU0010,Homecare,0,4,6,1.2622754185393568
2026-01-18,ST001,SKU0010,Homecare,0,2,8,1.8943937478505068
2026-01-19,ST001,SKU0010,Homecare,0,1,2,1.2549217251252607
2026-01-20,ST001,SKU0010,Homecare,0,3,2,1.361821430726459
2026-01-21,ST001,SKU0010,Homecare,0,4,3,1.821302460495125
2026-01-22,ST001,SKU0010,Homecare,0,0,5,2.1246376816161616
2026-01-23,ST001,SKU0010,Homecare,0,1,2,2.00479631896731
2026-01-24,ST001,SKU0010,Homecare,0,4,6,2.6307142560546977
2026-01-25,ST001,SKU0010,Homecare,0,1,8,3.2909991458641663
2026-01-26,ST001,SKU0010,Homecare,0,3,2,2.3583399152775053
2026-01-27,ST001,SKU0010,Homecare,0,0,2,2.7412258221412547
2026-01-28,ST001,SKU0010,Homecare,0,2,3,2.7559001858956824
2026-01-29,ST001,SKU0010,Homecare,0,3,5,3.126113208472399
2026-01-30,ST001,SKU0010,Homecare,0,6,2,3.5284163616462005
2026-01-03,ST001,SKU0011,Beverages,0,7,7,7.7107820465507055
2026-01-04,ST001,SKU0011,Beverages,0,12,8,8.009740217067105
2026-01-05,ST001,SKU0011,Beverages,0,5,1,6.227151348845499
2026-01-06,ST001,SKU0011,Beverages,0,2,4,6.418421250686698
2026-01-07,ST001,SKU0011,Beverages,0,2,4,6.433679681930054
2026-01-08,ST001,SKU0011,Beverages,0,6,14,7.218364430373894
2026-01-09,ST001,SKU0011,Beverages,0,5,5,7.592477559234065
2026-01-10,ST001,SKU0011,Beverages,0,13,7,7.947072149267755
2026-01-11,ST001,SKU0011,Beverages,0,9,8,8.500562493452218
2026-01-12,ST001,SKU0011,Beverages,0,1,1,6.510687268234463
2026-01-13,ST001,SKU0011,Beverages,0,15,4,6.094671639780085
2026-01-14,ST001,SKU0011,Beverages,0,14,4,6.579749642204923
2026-01-15,ST001,SKU0011,Beverages,0,10,14,6.923859052879774
2026-01-16,ST001,SKU0011,Beverages,0,8,5,6.836649319872349
2026-01-17,ST001,SKU0011,Beverages,0,7,7,7.400475625678042
2026-01-18,ST001,SKU0011,Beverages,0,3,8,7.399901240137591
2026-01-19,ST001,SKU0011,Beverages,0,11,1,5.141122837303792
2026-01-20,ST001,SKU0011,Beverages,0,3,4,6.675434854401062
2026-01-21,ST001,SKU0011,Beverages,0,15,4,6.557809427465197
2026-01-22,ST001,SKU0011,Beverages,0,5,14,7.230698555387311
2026-01-23,ST001,SKU0011,Beverages,0,3,5,6.927345372308264
2026-01-24,ST001,SKU0011,Beverages,0,11,7,6.912365122971447
2026-01-25,ST001,SKU0011,Beverages,0,7,8,7.218009392055306
2026-01-26,ST001,SKU0011,Beverages,0,6,1,5.999684959256171
2026-01-27,ST001,SKU0011,Beverages,0,8,4,5.7852442179778665
2026-01-28,ST001,SKU0011,Beverages,0,15,4,6.725973654289964
2026-01-29,ST001,SKU0011,Beverages,0,3,14,6.64448308861982
2026-01-30,ST001,SKU0011,Beverages,0,6,5,6.354943981466772
2026-01-03,ST001,SKU0012,Dairy,0,7,5,9.594113435698812
2026-01-04,ST001,SKU0012,Dairy,0,22,27,12.884509170315042
2026-01-05,ST001,SKU0012,Dairy,0,15,9,10.01204261475521
2026-01-06,ST001,SKU0012,Dairy,0,14,4,9.666460377095806
2026-01-07,ST001,SKU0012,Dairy,0,2,14,11.950997966266288
2026-01-08,ST001,SKU0012,Dairy,0,6,12,11.126180958530073
2026-01-09,ST001,SKU0012,Dairy,0,4,4,9.714328893853928
2026-01-10,ST001,SKU0012,Dairy,0,16,5,10.333926727518394
2026-01-11,ST001,SKU0012,Dairy,0,4,27,12.272436469547758
2026-01-12,ST001,SKU0012,Dairy,0,11,9,11.384464734270129
2026-01-13,ST001,SKU0012,Dairy,0,22,4,11.350681779678204
2026-01-14,ST001,SKU0012,Dairy,0,5,14,8.273707932316182
2026-01-15,ST001,SKU0012,Dairy,0,11,12,9.865518895705339
2026-01-16,ST001,SKU0012,Dairy,0,16,4,9.760972375755507
2026-01-17,ST001,SKU0012,Dairy,0,21,5,11.936654791887266
2026-01-18,ST001,SKU0012,Dairy,0,9,27,9.803964877691294
2026-01-19,ST001,SKU0012,Dairy,0,11,9,11.126200993360246
2026-01-20,ST001,SKU0012,Dairy,0,6,4,12.710186535527589
2026-01-21,ST001,SKU0012,Dairy,0,8,14,10.709613175086236
2026-01-22,ST001,SKU0012,Dairy,0,6,12,12.012007582969758
2026-01-23,ST001,SKU0012,Dairy,0,5,4,12.449367665193018
2026-01-24,ST001,SKU0012,Dairy,0,3,5,13.060656470963647
2026-01-25,ST001,SKU0012,Dairy,0,5,27,13.02371961601041
2026-01-26,ST001,SKU0012,Dairy,0,5,9,12.574594796639822
2026-01-27,ST001,SKU0012,Dairy,0,12,4,12.572556172678462
2026-01-28,ST001,SKU0012,Dairy,0,5,14,11.907100220983954
2026-01-29,ST001,SKU0012,Dairy,0,7,12,12.001403523186092
2026-01-30,ST001,SKU0012,Dairy,0,9,4,11.948008940690046
2026-01-03,ST001,SKU0013,Beverages,0,13,13,9.079223108210137
2026-01-04,ST001,SKU0013,Beverages,0,11,1,7.9105173036480965
2026-01-05,ST001,SKU0013,Beverages,0,3,7,5.1409034756277485
2026-01-06,ST001,SKU0013,Beverages,0,5,4,5.785534003883955
2026-01-07,ST001,SKU0013,Beverages,0,8,6,6.151571027559339
2026-01-08,ST001,SKU0013,Beverages,0,5,14,7.320878205567165
2026-01-09,ST001,SKU0013,Beverages,0,7,9,7.5027754799793485
2026-01-10,ST001,SKU0013,Beverages,0,1,13,8.693882015014147
2026-01-11,ST001,SKU0013,Beverages,0,10,1,9.362500303636065
2026-01-12,ST001,SKU0013,Beverages,0,9,7,6.185579048892191
2026-01-13,ST001,SKU0013,Beverages,0,9,4,6.1515003858281245
2026-01-14,ST001,SKU0013,Beverages,0,13,6,6.410534354612104
2026-01-15,ST001,SKU0013,Beverages,0,11,14,6.62959581274724
2026-01-16,ST001,SKU0013,Beverages,0,8,9,6.591541382150345
2026-01-17,ST001,SKU0013,Beverages,0,1,13,6.111504917117851
2026-01-18,ST001,SKU0013,Beverages,0,9,1,7.76206202369357
2026-01-19,ST001,SKU0013,Beverages,0,5,7,5.577537898654409
2026-01-20,ST001,SKU0013,Beverages,0,4,4,6.197568714137133
2026-01-21,ST001,SKU0013,Beverages,0,10,6,7.379676971756773
2026-01-22,ST001,SKU0013,Beverages,0,7,14,7.22918571706281
2026-01-23,ST001,SKU0013,Beverages,0,11,9,6.97865213332339
2026-01-24,ST001,SKU0013,Beverages,0,15,13,6.51261047655709
2026-01-25,ST001,SKU0013,Beverages,0,5,1,7.1797331961376445
2026-01-26,ST001,SKU0013,Beverages,0,8,7,4.505849492344698
2026-01-27,ST001,SKU0013,Beverages,0,5,4,4.487207996672941
2026-01-28,ST001,SKU0013,Beverages,0,12,6,5.332573125847878
2026-01-29,ST001,SKU0013,Beverages,0,2,14,5.229178469569959
2026-01-30,ST001,SKU0013,Beverages,0,6,9,6.960165996108827
2026-01-03,ST001,SKU0014,Snacks,0,17,5,0.5041841657163815
2026-01-04,ST001,SKU0014,Snacks,0,23,37,0.0
2026-01-05,ST001,SKU0014,Snacks,0,5,5,0.2073364716864834
2026-01-06,ST001,SKU0014,Snacks,0,12,5,2.329259916150246
2026-01-07,ST001,SKU0014,Snacks,0,7,4,1.8716009185635922
2026-01-08,ST001,SKU0014,Snacks,0,1,5,2.7539791956690713
2026-01-09,ST001,SKU0014,Snacks,0,14,3,3.2300645958670096
2026-01-10,ST001,SKU0014,Snacks,0,9,5,2.435048375165442
2026-01-11,ST001,SKU0014,Snacks,0,2,37,3.368088620772393
2026-01-12,ST001,SKU0014,Snacks,0,3,5,4.51474210609761
2026-01-13,ST001,SKU0014,Snacks,0,4,5,4.442930866804117
2026-01-14,ST001,SKU0014,Snacks,0,2,4,4.697068074581823
2026-01-15,ST001,SKU0014,Snacks,0,9,5,5.139680539668396
2026-01-16,ST001,SKU0014,Snacks,0,9,3,4.705558167888813
2026-01-17,ST001,SKU0014,Snacks,0,26,5,5.549374924787776
2026-01-18,ST001,SKU0014,Snacks,0,7,37,0.2649469516230205
2026-01-19,ST001,SKU0014,Snacks,0,7,5,1.6831231117838357
2026-01-20,ST001,SKU0014,Snacks,0,5,5,2.1256929122513917
