date,store_id,sku_id,region,city_tier,store_size,category_x,price,cost,shelf_life_days,moq_units,on_hand_open,receipts_units,on_hand_close,stockout_flag,days_of_cover,region_repl,city_tier_repl,store_size_repl,category_repl,price_repl,cost_repl,shelf_life_days_repl,moq_units_repl,avg_daily_demand,demand_std_dev,lead_time_days,service_level_target,safety_stock,reorder_point,recommended_order_qty,on_hand_units,category_y,forecast_avg_daily_demand,forecast_28d_units,category,projected_days_to_zero,doh_threshold,risk_flag,recommended_action
2026-01-30,ST012,SKU0085,East,2,M,Grocery,128.53,101.26,8,24,0,0,0.0,1,0.0,East,2,M,Grocery,128.53,101.26,8,24,15.9286,9.0732,7.0,0.95,39.6087,151.1087,76.4571,0.0,Grocery,10.370597915477731,290.37674163337647,Grocery,0.0,4.8,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0084,East,2,M,Homecare,347.33,247.3,711,6,0,0,0.0,1,0.0,East,2,M,Homecare,347.33,247.3,711,6,3.8036,2.5966,7.0,0.95,11.3356,37.9606,64.5856,0.0,Homecare,2.267371109687351,63.486391071245826,Homecare,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0083,East,2,M,Homecare,225.32,154.19,474,6,0,0,0.0,1,0.0,East,2,M,Homecare,225.32,154.19,474,6,3.875,3.2083,7.0,0.95,14.0058,41.1308,68.2558,0.0,Homecare,1.064299096894777,29.800374713053753,Homecare,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0082,East,2,M,Grocery,83.87,51.35,17,6,0,0,0.0,1,0.0,East,2,M,Grocery,83.87,51.35,17,6,14.625,8.6814,7.0,0.95,37.8984,140.2734,149.175,0.0,Grocery,9.428186249475656,263.98921498531837,Grocery,0.0,10.2,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0081,East,2,M,Personalcare,338.86,198.84,363,48,0,0,0.0,1,0.0,East,2,M,Personalcare,338.86,198.84,363,48,4.375,3.0185,7.0,0.95,13.1772,43.8022,74.4272,0.0,Personalcare,3.026607075519934,84.74499811455816,Personalcare,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0080,East,2,M,Beverages,274.14,180.06,690,48,0,0,0.0,1,0.0,East,2,M,Beverages,274.14,180.06,690,48,7.8214,4.9031,7.0,0.95,21.4044,76.1544,130.9044,0.0,Beverages,8.316576980173732,232.8641554448645,Beverages,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0079,East,2,M,Personalcare,275.32,172.46,624,24,0,0,0.0,1,0.0,East,2,M,Personalcare,275.32,172.46,624,24,3.3571,2.7398,7.0,0.95,11.9606,35.4606,58.9606,0.0,Personalcare,6.016763247090139,168.46937091852388,Personalcare,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0078,East,2,M,Dairy,152.86,91.65,9,12,0,0,0.0,1,0.0,East,2,M,Dairy,152.86,91.65,9,12,10.8036,6.6672,7.0,0.97,33.1628,108.7878,58.3393,0.0,Dairy,9.125015555743282,255.5004355608119,Dairy,0.0,5.3999999999999995,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0077,East,2,M,Grocery,250.37,146.03,9,48,0,0,0.0,1,0.0,East,2,M,Grocery,250.37,146.03,9,48,15.5714,10.5518,7.0,0.95,46.0637,155.0637,84.0857,0.0,Grocery,11.109950781196561,311.0786218735037,Grocery,0.0,5.3999999999999995,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0006,South,1,S,Dairy,401.14,325.45,21,24,0,0,0.0,1,0.0,South,1,S,Dairy,401.14,325.45,21,24,8.4286,5.714,7.0,0.97,28.4213,87.4213,106.2,0.0,Dairy,6.740038587568798,188.72108045192635,Dairy,0.0,12.6,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0086,East,2,M,Personalcare,260.86,193.32,339,24,0,0,0.0,1,0.0,East,2,M,Personalcare,260.86,193.32,339,24,3.8393,2.878,7.0,0.95,12.5638,39.4388,66.3138,0.0,Personalcare,3.4625238038949675,96.95066650905909,Personalcare,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0007,South,1,S,Dairy,349.25,274.51,8,6,0,0,0.0,1,0.0,South,1,S,Dairy,349.25,274.51,8,6,8.9107,5.4947,7.0,0.97,27.3308,89.7058,42.7714,0.0,Dairy,3.8437134648404045,107.62397701553132,Dairy,0.0,4.8,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0031,South,1,S,Beverages,172.84,139.93,587,24,0,0,0.0,1,0.0,South,1,S,Beverages,172.84,139.93,587,24,6.1964,3.8063,7.0,0.95,16.6164,59.9914,103.3664,0.0,Beverages,2.914076392307146,81.5941389846001,Beverages,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0009,South,1,S,Homecare,213.23,128.36,585,12,0,0,0.0,1,0.0,South,1,S,Homecare,213.23,128.36,585,12,3.4464,2.6141,7.0,0.95,11.4118,35.5368,59.6618,0.0,Homecare,1.3570409322418073,37.99714610277061,Homecare,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0025,East,2,M,Beverages,237.9,157.29,565,6,0,0,0.0,1,0.0,East,2,M,Beverages,237.9,157.29,565,6,8.8036,5.7253,7.0,0.95,24.9937,86.6187,148.2437,0.0,Beverages,2.2538289869289168,63.107211634009666,Beverages,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0030,South,1,S,Homecare,294.57,200.13,273,24,0,0,0.0,1,0.0,South,1,S,Homecare,294.57,200.13,273,24,3.25,3.2432,7.0,0.95,14.158,36.908,59.658,0.0,Homecare,1.9407025360751435,54.33967101010402,Homecare,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0029,South,1,S,Snacks,157.0,95.38,341,24,0,0,0.0,1,0.0,South,1,S,Snacks,157.0,95.38,341,24,7.3929,5.5093,7.0,0.94,22.593,74.343,126.093,0.0,Snacks,7.610254849138861,213.0871357758881,Snacks,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0028,South,1,S,Personalcare,545.36,348.93,514,6,0,0,0.0,1,0.0,South,1,S,Personalcare,545.36,348.93,514,6,3.3929,2.7875,7.0,0.95,12.1688,35.9188,59.6688,0.0,Personalcare,4.038523051720705,113.07864544817974,Personalcare,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0027,South,1,S,Homecare,167.01,122.36,347,24,0,0,0.0,1,0.0,South,1,S,Homecare,167.01,122.36,347,24,2.3036,1.9902,7.0,0.95,8.688,24.813,40.938,0.0,Homecare,3.2387276554787157,90.68437435340404,Homecare,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0026,South,1,S,Homecare,488.52,337.21,472,12,0,0,0.0,1,0.0,South,1,S,Homecare,488.52,337.21,472,12,2.8214,2.1072,7.0,0.95,9.1989,28.9489,48.6989,0.0,Homecare,1.297319926712595,36.32495794795266,Homecare,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0025,South,1,S,Beverages,237.9,157.29,565,6,0,0,0.0,1,0.0,South,1,S,Beverages,237.9,157.29,565,6,6.8036,5.0862,7.0,0.95,22.2039,69.8289,117.4539,0.0,Beverages,8.466658514098887,237.06643839476885,Beverages,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0024,South,1,S,Beverages,224.1,168.2,491,12,0,0,0.0,1,0.0,South,1,S,Beverages,224.1,168.2,491,12,6.6071,4.4911,7.0,0.95,19.6059,65.8559,112.1059,0.0,Beverages,2.760156244694879,77.2843748514566,Beverages,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0023,South,1,S,Dairy,486.4,396.27,9,12,0,0,0.0,1,0.0,South,1,S,Dairy,486.4,396.27,9,12,8.75,6.2209,7.0,0.97,30.943,92.193,47.25,0.0,Dairy,6.2115653716395824,173.92383040590832,Dairy,0.0,5.3999999999999995,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0022,South,1,S,Snacks,153.7,98.65,254,48,0,0,0.0,1,0.0,South,1,S,Snacks,153.7,98.65,254,48,7.9107,5.3301,7.0,0.94,21.8583,77.2333,132.6083,0.0,Snacks,1.5865658410203036,44.4238435485685,Snacks,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0008,South,1,S,Beverages,488.51,393.32,507,12,0,0,0.0,1,0.0,South,1,S,Beverages,488.51,393.32,507,12,5.9821,4.466,7.0,0.95,19.4963,61.3713,103.2463,0.0,Beverages,4.623048213192289,129.4453499693841,Beverages,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0021,South,1,S,Dairy,75.89,45.42,12,48,0,0,0.0,1,0.0,South,1,S,Dairy,75.89,45.42,12,48,8.5357,5.0523,7.0,0.97,25.1303,84.8803,61.4571,0.0,Dairy,7.940814825522804,222.3428151146385,Dairy,0.0,7.199999999999999,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0019,South,1,S,Grocery,417.65,231.32,19,24,0,0,0.0,1,0.0,South,1,S,Grocery,417.65,231.32,19,24,13.1071,7.5767,7.0,0.95,33.076,124.826,149.4214,0.0,Grocery,8.340109525558308,233.52306671563264,Grocery,0.0,11.4,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0018,South,1,S,Homecare,249.49,191.82,527,12,0,0,0.0,1,0.0,South,1,S,Homecare,249.49,191.82,527,12,3.2321,2.5081,7.0,0.95,10.9491,33.5741,56.1991,0.0,Homecare,0.4804043282941674,13.451321192236687,Homecare,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0017,South,1,S,Beverages,360.09,212.74,402,6,0,0,0.0,1,0.0,South,1,S,Beverages,360.09,212.74,402,6,8.2857,5.1371,7.0,0.95,22.4259,80.4259,138.4259,0.0,Beverages,6.254586162689084,175.12841255529435,Beverages,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0016,South,1,S,Snacks,273.96,176.97,667,24,0,0,0.0,1,0.0,South,1,S,Snacks,273.96,176.97,667,24,8.4464,6.0209,7.0,0.94,24.6913,83.8163,142.9413,0.0,Snacks,5.387347159392853,150.84572046299988,Snacks,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0015,South,1,S,Beverages,267.8,210.4,548,12,0,0,0.0,1,0.0,South,1,S,Beverages,267.8,210.4,548,12,6.9643,4.6396,4.0,0.95,15.3107,43.1679,91.9179,0.0,Beverages,4.3035483858683525,120.49935480431388,Beverages,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0014,South,1,S,Snacks,96.69,78.43,238,12,0,0,0.0,1,0.0,South,1,S,Snacks,96.69,78.43,238,12,6.6607,5.0678,7.0,0.94,20.7827,67.4077,114.0327,0.0,Snacks,2.6167792890743455,73.26982009408168,Snacks,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0013,South,1,S,Beverages,243.97,135.84,569,6,0,0,0.0,1,0.0,South,1,S,Beverages,243.97,135.84,569,6,6.75,5.2475,7.0,0.95,22.908,70.158,117.408,0.0,Beverages,2.9700678179512194,83.16189890263415,Beverages,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0012,South,1,S,Dairy,241.46,163.3,18,12,0,0,0.0,1,0.0,South,1,S,Dairy,241.46,163.3,18,12,8.4464,5.5001,7.0,0.97,27.3578,86.4828,91.2214,0.0,Dairy,10.169470946797077,284.74518651031815,Dairy,0.0,10.799999999999999,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0011,South,1,S,Beverages,243.15,160.71,295,6,0,0,0.0,1,0.0,South,1,S,Beverages,243.15,160.71,295,6,6.75,4.7606,7.0,0.95,20.7825,68.0325,115.2825,0.0,Beverages,5.440842864615573,152.34360020923603,Beverages,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0010,South,1,S,Homecare,297.06,234.29,703,12,0,0,0.0,1,0.0,South,1,S,Homecare,297.06,234.29,703,12,2.3214,1.7798,7.0,0.95,7.7695,24.0195,40.2695,0.0,Homecare,3.3799855006633917,94.63959401857497,Homecare,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0020,South,1,S,Beverages,229.24,171.01,304,6,0,0,0.0,1,0.0,South,1,S,Beverages,229.24,171.01,304,6,6.1607,3.5562,7.0,0.95,15.5245,58.6495,101.7745,0.0,Beverages,6.792846372025738,190.19969841672068,Beverages,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0075,East,2,M,Snacks,565.89,447.02,316,6,0,0,0.0,1,0.0,East,2,M,Snacks,565.89,447.02,316,6,8.2321,5.7016,7.0,0.94,23.382,81.007,138.632,0.0,Snacks,7.439431349554396,208.30407778752308,Snacks,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0051,East,2,M,Grocery,461.75,300.95,11,12,0,0,0.0,1,0.0,East,2,M,Grocery,461.75,300.95,11,12,14.4643,9.0894,7.0,0.95,39.6796,140.9296,95.4643,0.0,Grocery,8.319625416988867,232.94951167568829,Grocery,0.0,6.6,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0073,East,2,M,Dairy,218.86,148.35,9,12,0,0,0.0,1,0.0,East,2,M,Dairy,218.86,148.35,9,12,10.75,7.4303,2.0,0.97,19.7551,41.2551,58.05,0.0,Dairy,9.888186539713788,276.86922311198606,Dairy,0.0,5.3999999999999995,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0045,East,2,M,Beverages,143.39,82.59,424,24,0,0,0.0,1,0.0,East,2,M,Beverages,143.39,82.59,424,24,7.6429,4.8708,7.0,0.95,21.2634,74.7634,128.2634,0.0,Beverages,3.969473010098297,111.14524428275232,Beverages,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0044,East,2,M,Grocery,249.93,150.77,15,24,0,0,0.0,1,0.0,East,2,M,Grocery,249.93,150.77,15,24,14.1786,8.9972,7.0,0.95,39.2771,138.5271,127.6071,0.0,Grocery,10.469842288764548,293.1555840854073,Grocery,0.0,9.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0043,East,2,M,Personalcare,76.67,58.67,344,24,0,0,0.0,1,0.0,East,2,M,Personalcare,76.67,58.67,344,24,4.0179,2.9695,6.0,0.95,12.0017,36.1088,64.2338,0.0,Personalcare,4.20565999507726,117.7584798621633,Personalcare,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0042,East,2,M,Snacks,140.01,100.69,248,12,0,0,0.0,1,0.0,East,2,M,Snacks,140.01,100.69,248,12,8.9821,6.1363,7.0,0.94,25.1645,88.0395,150.9145,0.0,Snacks,4.2123165433811165,117.94486321467127,Snacks,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0041,East,2,M,Personalcare,553.6,312.06,492,12,0,0,0.0,1,0.0,East,2,M,Personalcare,553.6,312.06,492,12,3.7679,2.3969,7.0,0.95,10.4636,36.8386,63.2136,0.0,Personalcare,3.386195017041107,94.813460477151,Personalcare,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0040,East,2,M,Beverages,393.05,220.39,307,48,0,0,0.0,1,0.0,East,2,M,Beverages,393.05,220.39,307,48,8.0179,4.9927,7.0,0.95,21.7955,77.9205,134.0455,0.0,Beverages,5.90946322679522,165.46497035026616,Beverages,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0039,East,2,M,Homecare,406.17,295.56,296,6,0,0,0.0,1,0.0,East,2,M,Homecare,406.17,295.56,296,6,3.6071,2.8328,7.0,0.95,12.3665,37.6165,62.8665,0.0,Homecare,2.9509305303019167,82.62605484845366,Homecare,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0038,East,2,M,Grocery,226.47,143.55,15,12,0,0,0.0,1,0.0,East,2,M,Grocery,226.47,143.55,15,12,15.3929,7.8779,7.0,0.95,34.3908,142.1408,138.5357,0.0,Grocery,7.968584588320333,223.12036847296932,Grocery,0.0,9.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0037,East,2,M,Dairy,179.47,127.32,8,24,0,0,0.0,1,0.0,East,2,M,Dairy,179.47,127.32,8,24,10.7143,5.396,7.0,0.97,26.8398,101.8398,51.4286,0.0,Dairy,9.4818927669242,265.4929974738776,Dairy,0.0,4.8,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0036,East,2,M,Grocery,247.7,152.86,21,12,0,0,0.0,1,0.0,East,2,M,Grocery,247.7,152.86,21,12,14.0536,9.0381,7.0,0.95,39.4559,137.8309,177.075,0.0,Grocery,7.524450949073178,210.684626574049,Grocery,0.0,12.6,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0035,East,2,M,Homecare,185.05,104.11,271,6,0,0,0.0,1,0.0,East,2,M,Homecare,185.05,104.11,271,6,3.5179,3.0629,7.0,0.95,13.3712,37.9962,62.6212,0.0,Homecare,2.2104285595993605,61.8919996687821,Homecare,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0034,East,2,M,Personalcare,185.14,141.92,580,12,0,0,0.0,1,0.0,East,2,M,Personalcare,185.14,141.92,580,12,4.1786,3.1224,7.0,0.95,13.6308,42.8808,72.1308,0.0,Personalcare,2.363514558727171,66.17840764436079,Personalcare,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0033,East,2,M,Grocery,226.2,174.2,20,6,0,0,0.0,1,0.0,East,2,M,Grocery,226.2,174.2,20,6,12.3571,7.9737,7.0,0.95,34.8089,121.3089,148.2857,0.0,Grocery,18.15944092047662,508.46434577334537,Grocery,0.0,12.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0032,East,2,M,Snacks,254.5,152.61,576,12,0,0,0.0,1,0.0,East,2,M,Snacks,254.5,152.61,576,12,8.5,4.5045,7.0,0.94,18.4727,77.9727,137.4727,0.0,Snacks,10.254659629469556,287.13046962514755,Snacks,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0031,East,2,M,Beverages,172.84,139.93,587,24,0,0,0.0,1,0.0,East,2,M,Beverages,172.84,139.93,587,24,8.1071,5.8143,7.0,0.95,25.3824,82.1324,138.8824,0.0,Beverages,4.0383024401081995,113.07246832302958,Beverages,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0030,East,2,M,Homecare,294.57,200.13,273,24,0,0,0.0,1,0.0,East,2,M,Homecare,294.57,200.13,273,24,3.4643,2.6074,7.0,0.95,11.3827,35.6327,59.8827,0.0,Homecare,3.011233172094336,84.3145288186414,Homecare,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0029,East,2,M,Snacks,157.0,95.38,341,24,0,0,0.0,1,0.0,East,2,M,Snacks,157.0,95.38,341,24,8.3929,4.9385,7.0,0.94,20.2522,79.0022,137.7522,0.0,Snacks,9.947693631297184,278.53542167632116,Snacks,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0028,East,2,M,Personalcare,545.36,348.93,514,6,0,0,0.0,1,0.0,East,2,M,Personalcare,545.36,348.93,514,6,4.2857,3.2402,7.0,0.95,14.1449,44.1449,74.1449,0.0,Personalcare,4.548273556996068,127.3516595958899,Personalcare,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0027,East,2,M,Homecare,167.01,122.36,347,24,0,0,0.0,1,0.0,East,2,M,Homecare,167.01,122.36,347,24,3.0714,2.1478,7.0,0.95,9.3761,30.8761,52.3761,0.0,Homecare,3.826944301830657,107.1544404512584,Homecare,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0026,East,2,M,Homecare,488.52,337.21,472,12,0,0,0.0,1,0.0,East,2,M,Homecare,488.52,337.21,472,12,3.5536,2.4711,7.0,0.95,10.7874,35.6624,60.5374,0.0,Homecare,1.6710930356270537,46.7906049975575,Homecare,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST013,SKU0032,South,1,S,Snacks,254.5,152.61,576,12,0,0,0.0,1,0.0,South,1,S,Snacks,254.5,152.61,576,12,8.5357,4.7366,7.0,0.94,19.4243,79.1743,138.9243,0.0,Snacks,6.4607831719124444,180.90192881354844,Snacks,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0046,East,2,M,Beverages,306.0,234.69,375,24,0,0,0.0,1,0.0,East,2,M,Beverages,306.0,234.69,375,24,6.9464,4.7879,7.0,0.95,20.9017,69.5267,118.1517,0.0,Beverages,10.466281005907414,293.05586816540756,Beverages,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0047,East,2,M,Dairy,150.26,118.87,9,6,0,0,0.0,1,0.0,East,2,M,Dairy,150.26,118.87,9,6,9.2143,4.2543,7.0,0.97,21.1607,85.6607,49.7571,0.0,Dairy,9.660603565788728,270.49689984208436,Dairy,0.0,5.3999999999999995,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0048,East,2,M,Grocery,294.97,179.33,9,48,0,0,0.0,1,0.0,East,2,M,Grocery,294.97,179.33,9,48,14.3214,8.916,7.0,0.95,38.9226,139.1726,77.3357,0.0,Grocery,6.643602540543831,186.02087113522725,Grocery,0.0,5.3999999999999995,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0049,East,2,M,Beverages,232.94,144.01,656,24,0,0,0.0,1,0.0,East,2,M,Beverages,232.94,144.01,656,24,7.3214,5.9241,7.0,0.95,25.8615,77.1115,128.3615,0.0,Beverages,5.397508656286455,151.13024237602073,Beverages,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0072,East,2,M,Snacks,141.67,112.9,585,24,0,0,0.0,1,0.0,East,2,M,Snacks,141.67,112.9,585,24,8.4643,5.5497,5.0,0.94,19.2346,61.556,120.806,0.0,Snacks,10.666359992898682,298.6580798011631,Snacks,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0071,East,2,M,Grocery,205.93,145.23,21,24,0,0,0.0,1,0.0,East,2,M,Grocery,205.93,145.23,21,24,14.6071,7.298,7.0,0.95,31.8594,134.1094,184.05,0.0,Grocery,6.067620473634941,169.89337326177835,Grocery,0.0,12.6,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0070,East,2,M,Personalcare,160.16,93.42,414,48,0,0,0.0,1,0.0,East,2,M,Personalcare,160.16,93.42,414,48,3.8036,3.0536,7.0,0.95,13.3304,39.9554,66.5804,0.0,Personalcare,5.40641100949231,151.3795082657847,Personalcare,0.0,30.0,Stockout Risk,Replenish / expedite / transfer in
2026-01-30,ST012,SKU0069,East,2,M,Grocery,101.88,60.1,12,24,0,0,0.0,1,0.0,East,2,M,Grocery,101.88,60.1,12,24,13.3571,8.2427,7.0,0.95,35.9836,129.4836,96.1714,0.0,Grocery,11.010830292070818,308.3032481779829,Grocery,0.0,7.199999999999999,Stockout Risk,Replenish / expedite / transfer in
